run_idx,phase,tag,day,fit_cov,mean_geh,wall_s,params_json
11,explore,x005,2026-06-02,0.1944,16.039,1192.5,"{""N.s_entry.4"": 0.1615, ""N.s_entry.5"": 0.9356, ""N.s_entry.6"": 0.9044, ""N.s_entry.7"": 0.0459, ""N.s_entry.8"": 0.2515, ""N.s_entry.9"": 0.3497, ""N.s_entry.10"": 0.5019, ""N.s_or.4"": 0.9462, ""N.s_or.5"": 0.4388, ""N.s_or.6"": 0.1872, ""N.s_or.7"": 0.0332, ""N.s_or.8"": 0.9491, ""N.s_or.9"": 0.8406, ""N.s_or.10"": 0.735, ""N.m_off.4"": 0.6922, ""N.m_off.5"": 0.8031, ""N.m_off.6"": 0.699, ""N.m_off.7"": 0.6437, ""N.m_off.8"": 0.6373, ""N.m_off.9"": 0.1277, ""N.m_off.10"": 0.4124, ""N.q_dead.None"": 0.6076, ""S.s_entry.4"": 0.7935, ""S.s_entry.5"": 0.3801, ""S.s_entry.6"": 0.5943, ""S.s_entry.7"": 0.3982, ""S.s_entry.8"": 0.5698, ""S.s_entry.9"": 0.7262, ""S.s_entry.10"": 0.3987, ""S.s_or.4"": 0.1181, ""S.s_or.5"": 0.2711, ""S.s_or.6"": 0.8739, ""S.s_or.7"": 0.2638, ""S.s_or.8"": 0.0884, ""S.s_or.9"": 0.9368, ""S.s_or.10"": 0.859, ""S.m_off.4"": 0.8475, ""S.m_off.5"": 0.9051, ""S.m_off.6"": 0.4788, ""S.m_off.7"": 0.4757, ""S.m_off.8"": 0.9414, ""S.m_off.9"": 0.088, ""S.m_off.10"": 0.5999, ""S.q_dead.None"": 0.5303}"
12,explore,x005,2026-06-04,0.2442,14.704,957.7,"{""N.s_entry.4"": 0.1615, ""N.s_entry.5"": 0.9356, ""N.s_entry.6"": 0.9044, ""N.s_entry.7"": 0.0459, ""N.s_entry.8"": 0.2515, ""N.s_entry.9"": 0.3497, ""N.s_entry.10"": 0.5019, ""N.s_or.4"": 0.9462, ""N.s_or.5"": 0.4388, ""N.s_or.6"": 0.1872, ""N.s_or.7"": 0.0332, ""N.s_or.8"": 0.9491, ""N.s_or.9"": 0.8406, ""N.s_or.10"": 0.735, ""N.m_off.4"": 0.6922, ""N.m_off.5"": 0.8031, ""N.m_off.6"": 0.699, ""N.m_off.7"": 0.6437, ""N.m_off.8"": 0.6373, ""N.m_off.9"": 0.1277, ""N.m_off.10"": 0.4124, ""N.q_dead.None"": 0.6076, ""S.s_entry.4"": 0.7935, ""S.s_entry.5"": 0.3801, ""S.s_entry.6"": 0.5943, ""S.s_entry.7"": 0.3982, ""S.s_entry.8"": 0.5698, ""S.s_entry.9"": 0.7262, ""S.s_entry.10"": 0.3987, ""S.s_or.4"": 0.1181, ""S.s_or.5"": 0.2711, ""S.s_or.6"": 0.8739, ""S.s_or.7"": 0.2638, ""S.s_or.8"": 0.0884, ""S.s_or.9"": 0.9368, ""S.s_or.10"": 0.859, ""S.m_off.4"": 0.8475, ""S.m_off.5"": 0.9051, ""S.m_off.6"": 0.4788, ""S.m_off.7"": 0.4757, ""S.m_off.8"": 0.9414, ""S.m_off.9"": 0.088, ""S.m_off.10"": 0.5999, ""S.q_dead.None"": 0.5303}"
13,explore,x006,2026-06-02,0.2141,12.2,705.4,"{""N.s_entry.4"": 0.4316, ""N.s_entry.5"": 0.316, ""N.s_entry.6"": 0.3826, ""N.s_entry.7"": 0.4297, ""N.s_entry.8"": 0.4986, ""N.s_entry.9"": 0.3387, ""N.s_entry.10"": 0.2875, ""N.s_or.4"": 0.4897, ""N.s_or.5"": 0.4909, ""N.s_or.6"": 0.2721, ""N.s_or.7"": 0.251, ""N.s_or.8"": 0.4229, ""N.s_or.9"": 0.2352, ""N.s_or.10"": 0.4358, ""N.m_off.4"": 0.5212, ""N.m_off.5"": 0.4886, ""N.m_off.6"": 0.2546, ""N.m_off.7"": 0.2467, ""N.m_off.8"": 0.4549, ""N.m_off.9"": 0.5295, ""N.m_off.10"": 0.2932, ""N.q_dead.None"": 0.2538, ""S.s_entry.4"": 0.5038, ""S.s_entry.5"": 0.4837, ""S.s_entry.6"": 0.3874, ""S.s_entry.7"": 0.3064, ""S.s_entry.8"": 0.476, ""S.s_entry.9"": 0.3962, ""S.s_entry.10"": 0.2784, ""S.s_or.4"": 0.2723, ""S.s_or.5"": 0.2402, ""S.s_or.6"": 0.4423, ""S.s_or.7"": 0.3672, ""S.s_or.8"": 0.3637, ""S.s_or.9"": 0.3694, ""S.s_or.10"": 0.4327, ""S.m_off.4"": 0.296, ""S.m_off.5"": 0.3757, ""S.m_off.6"": 0.3573, ""S.m_off.7"": 0.4118, ""S.m_off.8"": 0.2885, ""S.m_off.9"": 0.2352, ""S.m_off.10"": 0.4271, ""S.q_dead.None"": 0.184}"
14,explore,x006,2026-06-04,0.2627,11.336,535.1,"{""N.s_entry.4"": 0.4316, ""N.s_entry.5"": 0.316, ""N.s_entry.6"": 0.3826, ""N.s_entry.7"": 0.4297, ""N.s_entry.8"": 0.4986, ""N.s_entry.9"": 0.3387, ""N.s_entry.10"": 0.2875, ""N.s_or.4"": 0.4897, ""N.s_or.5"": 0.4909, ""N.s_or.6"": 0.2721, ""N.s_or.7"": 0.251, ""N.s_or.8"": 0.4229, ""N.s_or.9"": 0.2352, ""N.s_or.10"": 0.4358, ""N.m_off.4"": 0.5212, ""N.m_off.5"": 0.4886, ""N.m_off.6"": 0.2546, ""N.m_off.7"": 0.2467, ""N.m_off.8"": 0.4549, ""N.m_off.9"": 0.5295, ""N.m_off.10"": 0.2932, ""N.q_dead.None"": 0.2538, ""S.s_entry.4"": 0.5038, ""S.s_entry.5"": 0.4837, ""S.s_entry.6"": 0.3874, ""S.s_entry.7"": 0.3064, ""S.s_entry.8"": 0.476, ""S.s_entry.9"": 0.3962, ""S.s_entry.10"": 0.2784, ""S.s_or.4"": 0.2723, ""S.s_or.5"": 0.2402, ""S.s_or.6"": 0.4423, ""S.s_or.7"": 0.3672, ""S.s_or.8"": 0.3637, ""S.s_or.9"": 0.3694, ""S.s_or.10"": 0.4327, ""S.m_off.4"": 0.296, ""S.m_off.5"": 0.3757, ""S.m_off.6"": 0.3573, ""S.m_off.7"": 0.4118, ""S.m_off.8"": 0.2885, ""S.m_off.9"": 0.2352, ""S.m_off.10"": 0.4271, ""S.q_dead.None"": 0.184}"
15,explore,x007,2026-06-02,0.1933,13.626,700.1,"{""N.s_entry.4"": 0.0481, ""N.s_entry.5"": 0.6115, ""N.s_entry.6"": 0.1126, ""N.s_entry.7"": 0.06, ""N.s_entry.8"": 0.9385, ""N.s_entry.9"": 0.0901, ""N.s_entry.10"": 0.0523, ""N.s_or.4"": 0.7575, ""N.s_or.5"": 0.8297, ""N.s_or.6"": 0.0086, ""N.s_or.7"": 0.4604, ""N.s_or.8"": 0.9201, ""N.s_or.9"": 0.0806, ""N.s_or.10"": 0.0463, ""N.m_off.4"": 0.5152, ""N.m_off.5"": 0.3624, ""N.m_off.6"": 0.9153, ""N.m_off.7"": 0.8417, ""N.m_off.8"": 0.5189, ""N.m_off.9"": 0.921, ""N.m_off.10"": 0.3987, ""N.q_dead.None"": 0.1757, ""S.s_entry.4"": 0.6256, ""S.s_entry.5"": 0.1735, ""S.s_entry.6"": 0.5475, ""S.s_entry.7"": 0.8726, ""S.s_entry.8"": 0.96, ""S.s_entry.9"": 0.676, ""S.s_entry.10"": 0.1597, ""S.s_or.4"": 0.5888, ""S.s_or.5"": 0.2043, ""S.s_or.6"": 0.4016, ""S.s_or.7"": 0.1564, ""S.s_or.8"": 0.3526, ""S.s_or.9"": 0.4429, ""S.s_or.10"": 0.7402, ""S.m_off.4"": 0.3275, ""S.m_off.5"": 0.5926, ""S.m_off.6"": 0.1589, ""S.m_off.7"": 0.181, ""S.m_off.8"": 0.8601, ""S.m_off.9"": 0.2911, ""S.m_off.10"": 0.7476, ""S.q_dead.None"": 0.3875}"
16,explore,x007,2026-06-04,0.2303,13.593,620.5,"{""N.s_entry.4"": 0.0481, ""N.s_entry.5"": 0.6115, ""N.s_entry.6"": 0.1126, ""N.s_entry.7"": 0.06, ""N.s_entry.8"": 0.9385, ""N.s_entry.9"": 0.0901, ""N.s_entry.10"": 0.0523, ""N.s_or.4"": 0.7575, ""N.s_or.5"": 0.8297, ""N.s_or.6"": 0.0086, ""N.s_or.7"": 0.4604, ""N.s_or.8"": 0.9201, ""N.s_or.9"": 0.0806, ""N.s_or.10"": 0.0463, ""N.m_off.4"": 0.5152, ""N.m_off.5"": 0.3624, ""N.m_off.6"": 0.9153, ""N.m_off.7"": 0.8417, ""N.m_off.8"": 0.5189, ""N.m_off.9"": 0.921, ""N.m_off.10"": 0.3987, ""N.q_dead.None"": 0.1757, ""S.s_entry.4"": 0.6256, ""S.s_entry.5"": 0.1735, ""S.s_entry.6"": 0.5475, ""S.s_entry.7"": 0.8726, ""S.s_entry.8"": 0.96, ""S.s_entry.9"": 0.676, ""S.s_entry.10"": 0.1597, ""S.s_or.4"": 0.5888, ""S.s_or.5"": 0.2043, ""S.s_or.6"": 0.4016, ""S.s_or.7"": 0.1564, ""S.s_or.8"": 0.3526, ""S.s_or.9"": 0.4429, ""S.s_or.10"": 0.7402, ""S.m_off.4"": 0.3275, ""S.m_off.5"": 0.5926, ""S.m_off.6"": 0.1589, ""S.m_off.7"": 0.181, ""S.m_off.8"": 0.8601, ""S.m_off.9"": 0.2911, ""S.m_off.10"": 0.7476, ""S.q_dead.None"": 0.3875}"
17,explore,x008,2026-06-02,0.1863,12.587,651.3,"{""N.s_entry.4"": 0.3097, ""N.s_entry.5"": 0.4723, ""N.s_entry.6"": 0.3564, ""N.s_entry.7"": 0.5273, ""N.s_entry.8"": 0.2785, ""N.s_entry.9"": 0.3374, ""N.s_entry.10"": 0.4318, ""N.s_or.4"": 0.381, ""N.s_or.5"": 0.359, ""N.s_or.6"": 0.2795, ""N.s_or.7"": 0.3733, ""N.s_or.8"": 0.4558, ""N.s_or.9"": 0.2665, ""N.s_or.10"": 0.2907, ""N.m_off.4"": 0.5104, ""N.m_off.5"": 0.39, ""N.m_off.6"": 0.279, ""N.m_off.7"": 0.4512, ""N.m_off.8"": 0.4623, ""N.m_off.9"": 0.4089, ""N.m_off.10"": 0.4586, ""N.q_dead.None"": 0.2729, ""S.s_entry.4"": 0.279, ""S.s_entry.5"": 0.3993, ""S.s_entry.6"": 0.4029, ""S.s_entry.7"": 0.4856, ""S.s_entry.8"": 0.5086, ""S.s_entry.9"": 0.5207, ""S.s_entry.10"": 0.5057, ""S.s_or.4"": 0.2833, ""S.s_or.5"": 0.3021, ""S.s_or.6"": 0.4973, ""S.s_or.7"": 0.5138, ""S.s_or.8"": 0.2883, ""S.s_or.9"": 0.5303, ""S.s_or.10"": 0.2365, ""S.m_off.4"": 0.3817, ""S.m_off.5"": 0.2969, ""S.m_off.6"": 0.5184, ""S.m_off.7"": 0.4417, ""S.m_off.8"": 0.3628, ""S.m_off.9"": 0.4801, ""S.m_off.10"": 0.4767, ""S.q_dead.None"": 0.2452}"
18,explore,x008,2026-06-04,0.2731,11.624,585.3,"{""N.s_entry.4"": 0.3097, ""N.s_entry.5"": 0.4723, ""N.s_entry.6"": 0.3564, ""N.s_entry.7"": 0.5273, ""N.s_entry.8"": 0.2785, ""N.s_entry.9"": 0.3374, ""N.s_entry.10"": 0.4318, ""N.s_or.4"": 0.381, ""N.s_or.5"": 0.359, ""N.s_or.6"": 0.2795, ""N.s_or.7"": 0.3733, ""N.s_or.8"": 0.4558, ""N.s_or.9"": 0.2665, ""N.s_or.10"": 0.2907, ""N.m_off.4"": 0.5104, ""N.m_off.5"": 0.39, ""N.m_off.6"": 0.279, ""N.m_off.7"": 0.4512, ""N.m_off.8"": 0.4623, ""N.m_off.9"": 0.4089, ""N.m_off.10"": 0.4586, ""N.q_dead.None"": 0.2729, ""S.s_entry.4"": 0.279, ""S.s_entry.5"": 0.3993, ""S.s_entry.6"": 0.4029, ""S.s_entry.7"": 0.4856, ""S.s_entry.8"": 0.5086, ""S.s_entry.9"": 0.5207, ""S.s_entry.10"": 0.5057, ""S.s_or.4"": 0.2833, ""S.s_or.5"": 0.3021, ""S.s_or.6"": 0.4973, ""S.s_or.7"": 0.5138, ""S.s_or.8"": 0.2883, ""S.s_or.9"": 0.5303, ""S.s_or.10"": 0.2365, ""S.m_off.4"": 0.3817, ""S.m_off.5"": 0.2969, ""S.m_off.6"": 0.5184, ""S.m_off.7"": 0.4417, ""S.m_off.8"": 0.3628, ""S.m_off.9"": 0.4801, ""S.m_off.10"": 0.4767, ""S.q_dead.None"": 0.2452}"
19,explore,x010,2026-06-02,0.2361,11.205,498.4,"{""N.s_entry.4"": 0.3232, ""N.s_entry.5"": 0.4876, ""N.s_entry.6"": 0.266, ""N.s_entry.7"": 0.3634, ""N.s_entry.8"": 0.514, ""N.s_entry.9"": 0.4081, ""N.s_entry.10"": 0.4397, ""N.s_or.4"": 0.509, ""N.s_or.5"": 0.2964, ""N.s_or.6"": 0.3125, ""N.s_or.7"": 0.3243, ""N.s_or.8"": 0.5297, ""N.s_or.9"": 0.338, ""N.s_or.10"": 0.4389, ""N.m_off.4"": 0.4909, ""N.m_off.5"": 0.4261, ""N.m_off.6"": 0.288, ""N.m_off.7"": 0.2426, ""N.m_off.8"": 0.5303, ""N.m_off.9"": 0.3492, ""N.m_off.10"": 0.3405, ""N.q_dead.None"": 0.172, ""S.s_entry.4"": 0.3132, ""S.s_entry.5"": 0.3194, ""S.s_entry.6"": 0.2711, ""S.s_entry.7"": 0.3712, ""S.s_entry.8"": 0.2626, ""S.s_entry.9"": 0.4453, ""S.s_entry.10"": 0.5211, ""S.s_or.4"": 0.4981, ""S.s_or.5"": 0.4506, ""S.s_or.6"": 0.2663, ""S.s_or.7"": 0.3461, ""S.s_or.8"": 0.2552, ""S.s_or.9"": 0.3513, ""S.s_or.10"": 0.3135, ""S.m_off.4"": 0.2684, ""S.m_off.5"": 0.2989, ""S.m_off.6"": 0.295, ""S.m_off.7"": 0.3741, ""S.m_off.8"": 0.4034, ""S.m_off.9"": 0.2777, ""S.m_off.10"": 0.237, ""S.q_dead.None"": 0.1335}"
20,explore,x010,2026-06-04,0.3356,10.787,427.3,"{""N.s_entry.4"": 0.3232, ""N.s_entry.5"": 0.4876, ""N.s_entry.6"": 0.266, ""N.s_entry.7"": 0.3634, ""N.s_entry.8"": 0.514, ""N.s_entry.9"": 0.4081, ""N.s_entry.10"": 0.4397, ""N.s_or.4"": 0.509, ""N.s_or.5"": 0.2964, ""N.s_or.6"": 0.3125, ""N.s_or.7"": 0.3243, ""N.s_or.8"": 0.5297, ""N.s_or.9"": 0.338, ""N.s_or.10"": 0.4389, ""N.m_off.4"": 0.4909, ""N.m_off.5"": 0.4261, ""N.m_off.6"": 0.288, ""N.m_off.7"": 0.2426, ""N.m_off.8"": 0.5303, ""N.m_off.9"": 0.3492, ""N.m_off.10"": 0.3405, ""N.q_dead.None"": 0.172, ""S.s_entry.4"": 0.3132, ""S.s_entry.5"": 0.3194, ""S.s_entry.6"": 0.2711, ""S.s_entry.7"": 0.3712, ""S.s_entry.8"": 0.2626, ""S.s_entry.9"": 0.4453, ""S.s_entry.10"": 0.5211, ""S.s_or.4"": 0.4981, ""S.s_or.5"": 0.4506, ""S.s_or.6"": 0.2663, ""S.s_or.7"": 0.3461, ""S.s_or.8"": 0.2552, ""S.s_or.9"": 0.3513, ""S.s_or.10"": 0.3135, ""S.m_off.4"": 0.2684, ""S.m_off.5"": 0.2989, ""S.m_off.6"": 0.295, ""S.m_off.7"": 0.3741, ""S.m_off.8"": 0.4034, ""S.m_off.9"": 0.2777, ""S.m_off.10"": 0.237, ""S.q_dead.None"": 0.1335}"
21,explore,x009,2026-06-02,0.2072,15.742,763.7,"{""N.s_entry.4"": 0.5804, ""N.s_entry.5"": 0.3988, ""N.s_entry.6"": 0.3009, ""N.s_entry.7"": 0.5453, ""N.s_entry.8"": 0.7526, ""N.s_entry.9"": 0.9922, ""N.s_entry.10"": 0.8517, ""N.s_or.4"": 0.8721, ""N.s_or.5"": 0.7666, ""N.s_or.6"": 0.1718, ""N.s_or.7"": 0.7336, ""N.s_or.8"": 0.1396, ""N.s_or.9"": 0.9983, ""N.s_or.10"": 0.3204, ""N.m_off.4"": 0.6926, ""N.m_off.5"": 0.8252, ""N.m_off.6"": 0.0719, ""N.m_off.7"": 0.7518, ""N.m_off.8"": 0.017, ""N.m_off.9"": 0.8592, ""N.m_off.10"": 0.4644, ""N.q_dead.None"": 0.7019, ""S.s_entry.4"": 0.982, ""S.s_entry.5"": 0.3746, ""S.s_entry.6"": 0.3503, ""S.s_entry.7"": 0.0144, ""S.s_entry.8"": 0.9372, ""S.s_entry.9"": 0.87, ""S.s_entry.10"": 0.6208, ""S.s_or.4"": 0.7736, ""S.s_or.5"": 0.3052, ""S.s_or.6"": 0.8325, ""S.s_or.7"": 0.9187, ""S.s_or.8"": 0.7865, ""S.s_or.9"": 0.2503, ""S.s_or.10"": 0.0792, ""S.m_off.4"": 0.3485, ""S.m_off.5"": 0.1353, ""S.m_off.6"": 0.6748, ""S.m_off.7"": 0.7077, ""S.m_off.8"": 0.2526, ""S.m_off.9"": 0.2075, ""S.m_off.10"": 0.1549, ""S.q_dead.None"": 0.0655}"
22,explore,x009,2026-06-04,0.2708,14.935,671.3,"{""N.s_entry.4"": 0.5804, ""N.s_entry.5"": 0.3988, ""N.s_entry.6"": 0.3009, ""N.s_entry.7"": 0.5453, ""N.s_entry.8"": 0.7526, ""N.s_entry.9"": 0.9922, ""N.s_entry.10"": 0.8517, ""N.s_or.4"": 0.8721, ""N.s_or.5"": 0.7666, ""N.s_or.6"": 0.1718, ""N.s_or.7"": 0.7336, ""N.s_or.8"": 0.1396, ""N.s_or.9"": 0.9983, ""N.s_or.10"": 0.3204, ""N.m_off.4"": 0.6926, ""N.m_off.5"": 0.8252, ""N.m_off.6"": 0.0719, ""N.m_off.7"": 0.7518, ""N.m_off.8"": 0.017, ""N.m_off.9"": 0.8592, ""N.m_off.10"": 0.4644, ""N.q_dead.None"": 0.7019, ""S.s_entry.4"": 0.982, ""S.s_entry.5"": 0.3746, ""S.s_entry.6"": 0.3503, ""S.s_entry.7"": 0.0144, ""S.s_entry.8"": 0.9372, ""S.s_entry.9"": 0.87, ""S.s_entry.10"": 0.6208, ""S.s_or.4"": 0.7736, ""S.s_or.5"": 0.3052, ""S.s_or.6"": 0.8325, ""S.s_or.7"": 0.9187, ""S.s_or.8"": 0.7865, ""S.s_or.9"": 0.2503, ""S.s_or.10"": 0.0792, ""S.m_off.4"": 0.3485, ""S.m_off.5"": 0.1353, ""S.m_off.6"": 0.6748, ""S.m_off.7"": 0.7077, ""S.m_off.8"": 0.2526, ""S.m_off.9"": 0.2075, ""S.m_off.10"": 0.1549, ""S.q_dead.None"": 0.0655}"
23,explore,x012,2026-06-02,0.2755,11.012,400.5,"{""N.s_entry.4"": 0.3215, ""N.s_entry.5"": 0.3291, ""N.s_entry.6"": 0.3495, ""N.s_entry.7"": 0.2409, ""N.s_entry.8"": 0.3309, ""N.s_entry.9"": 0.4889, ""N.s_entry.10"": 0.2349, ""N.s_or.4"": 0.2556, ""N.s_or.5"": 0.3799, ""N.s_or.6"": 0.3635, ""N.s_or.7"": 0.4724, ""N.s_or.8"": 0.3827, ""N.s_or.9"": 0.2798, ""N.s_or.10"": 0.3545, ""N.m_off.4"": 0.4808, ""N.m_off.5"": 0.4944, ""N.m_off.6"": 0.3114, ""N.m_off.7"": 0.3149, ""N.m_off.8"": 0.4495, ""N.m_off.9"": 0.2955, ""N.m_off.10"": 0.4051, ""N.q_dead.None"": 0.0446, ""S.s_entry.4"": 0.3142, ""S.s_entry.5"": 0.343, ""S.s_entry.6"": 0.2852, ""S.s_entry.7"": 0.5099, ""S.s_entry.8"": 0.263, ""S.s_entry.9"": 0.5097, ""S.s_entry.10"": 0.2385, ""S.s_or.4"": 0.2486, ""S.s_or.5"": 0.393, ""S.s_or.6"": 0.2804, ""S.s_or.7"": 0.4389, ""S.s_or.8"": 0.2408, ""S.s_or.9"": 0.4063, ""S.s_or.10"": 0.3715, ""S.m_off.4"": 0.504, ""S.m_off.5"": 0.2775, ""S.m_off.6"": 0.3607, ""S.m_off.7"": 0.2902, ""S.m_off.8"": 0.2599, ""S.m_off.9"": 0.296, ""S.m_off.10"": 0.2485, ""S.q_dead.None"": 0.0674}"
24,explore,x012,2026-06-04,0.3403,11.134,392.5,"{""N.s_entry.4"": 0.3215, ""N.s_entry.5"": 0.3291, ""N.s_entry.6"": 0.3495, ""N.s_entry.7"": 0.2409, ""N.s_entry.8"": 0.3309, ""N.s_entry.9"": 0.4889, ""N.s_entry.10"": 0.2349, ""N.s_or.4"": 0.2556, ""N.s_or.5"": 0.3799, ""N.s_or.6"": 0.3635, ""N.s_or.7"": 0.4724, ""N.s_or.8"": 0.3827, ""N.s_or.9"": 0.2798, ""N.s_or.10"": 0.3545, ""N.m_off.4"": 0.4808, ""N.m_off.5"": 0.4944, ""N.m_off.6"": 0.3114, ""N.m_off.7"": 0.3149, ""N.m_off.8"": 0.4495, ""N.m_off.9"": 0.2955, ""N.m_off.10"": 0.4051, ""N.q_dead.None"": 0.0446, ""S.s_entry.4"": 0.3142, ""S.s_entry.5"": 0.343, ""S.s_entry.6"": 0.2852, ""S.s_entry.7"": 0.5099, ""S.s_entry.8"": 0.263, ""S.s_entry.9"": 0.5097, ""S.s_entry.10"": 0.2385, ""S.s_or.4"": 0.2486, ""S.s_or.5"": 0.393, ""S.s_or.6"": 0.2804, ""S.s_or.7"": 0.4389, ""S.s_or.8"": 0.2408, ""S.s_or.9"": 0.4063, ""S.s_or.10"": 0.3715, ""S.m_off.4"": 0.504, ""S.m_off.5"": 0.2775, ""S.m_off.6"": 0.3607, ""S.m_off.7"": 0.2902, ""S.m_off.8"": 0.2599, ""S.m_off.9"": 0.296, ""S.m_off.10"": 0.2485, ""S.q_dead.None"": 0.0674}"
25,explore,x011,2026-06-02,0.2083,15.999,830.3,"{""N.s_entry.4"": 0.0707, ""N.s_entry.5"": 0.5376, ""N.s_entry.6"": 0.4425, ""N.s_entry.7"": 0.928, ""N.s_entry.8"": 0.6259, ""N.s_entry.9"": 0.7604, ""N.s_entry.10"": 0.4589, ""N.s_or.4"": 0.6781, ""N.s_or.5"": 0.4822, ""N.s_or.6"": 0.4647, ""N.s_or.7"": 0.5305, ""N.s_or.8"": 0.4116, ""N.s_or.9"": 0.7484, ""N.s_or.10"": 0.4379, ""N.m_off.4"": 0.6054, ""N.m_off.5"": 0.2086, ""N.m_off.6"": 0.3305, ""N.m_off.7"": 0.1162, ""N.m_off.8"": 0.3242, ""N.m_off.9"": 0.9571, ""N.m_off.10"": 0.5367, ""N.q_dead.None"": 0.6353, ""S.s_entry.4"": 0.4215, ""S.s_entry.5"": 0.0238, ""S.s_entry.6"": 0.4663, ""S.s_entry.7"": 0.3697, ""S.s_entry.8"": 0.633, ""S.s_entry.9"": 0.4135, ""S.s_entry.10"": 0.1227, ""S.s_or.4"": 0.0943, ""S.s_or.5"": 0.3017, ""S.s_or.6"": 0.9381, ""S.s_or.7"": 0.963, ""S.s_or.8"": 0.2026, ""S.s_or.9"": 0.2451, ""S.s_or.10"": 0.5841, ""S.m_off.4"": 0.252, ""S.m_off.5"": 0.0737, ""S.m_off.6"": 0.8423, ""S.m_off.7"": 0.5901, ""S.m_off.8"": 0.7729, ""S.m_off.9"": 0.9441, ""S.m_off.10"": 0.1916, ""S.q_dead.None"": 0.3365}"
26,explore,x011,2026-06-04,0.2188,15.529,874.0,"{""N.s_entry.4"": 0.0707, ""N.s_entry.5"": 0.5376, ""N.s_entry.6"": 0.4425, ""N.s_entry.7"": 0.928, ""N.s_entry.8"": 0.6259, ""N.s_entry.9"": 0.7604, ""N.s_entry.10"": 0.4589, ""N.s_or.4"": 0.6781, ""N.s_or.5"": 0.4822, ""N.s_or.6"": 0.4647, ""N.s_or.7"": 0.5305, ""N.s_or.8"": 0.4116, ""N.s_or.9"": 0.7484, ""N.s_or.10"": 0.4379, ""N.m_off.4"": 0.6054, ""N.m_off.5"": 0.2086, ""N.m_off.6"": 0.3305, ""N.m_off.7"": 0.1162, ""N.m_off.8"": 0.3242, ""N.m_off.9"": 0.9571, ""N.m_off.10"": 0.5367, ""N.q_dead.None"": 0.6353, ""S.s_entry.4"": 0.4215, ""S.s_entry.5"": 0.0238, ""S.s_entry.6"": 0.4663, ""S.s_entry.7"": 0.3697, ""S.s_entry.8"": 0.633, ""S.s_entry.9"": 0.4135, ""S.s_entry.10"": 0.1227, ""S.s_or.4"": 0.0943, ""S.s_or.5"": 0.3017, ""S.s_or.6"": 0.9381, ""S.s_or.7"": 0.963, ""S.s_or.8"": 0.2026, ""S.s_or.9"": 0.2451, ""S.s_or.10"": 0.5841, ""S.m_off.4"": 0.252, ""S.m_off.5"": 0.0737, ""S.m_off.6"": 0.8423, ""S.m_off.7"": 0.5901, ""S.m_off.8"": 0.7729, ""S.m_off.9"": 0.9441, ""S.m_off.10"": 0.1916, ""S.q_dead.None"": 0.3365}"
27,explore,x013,2026-06-02,0.2789,16.529,907.4,"{""N.s_entry.4"": 0.2246, ""N.s_entry.5"": 0.6138, ""N.s_entry.6"": 0.1341, ""N.s_entry.7"": 0.2415, ""N.s_entry.8"": 0.9476, ""N.s_entry.9"": 0.5887, ""N.s_entry.10"": 0.2819, ""N.s_or.4"": 0.2121, ""N.s_or.5"": 0.7152, ""N.s_or.6"": 0.8068, ""N.s_or.7"": 0.7646, ""N.s_or.8"": 0.8158, ""N.s_or.9"": 0.943, ""N.s_or.10"": 0.4555, ""N.m_off.4"": 0.2817, ""N.m_off.5"": 0.6704, ""N.m_off.6"": 0.9012, ""N.m_off.7"": 0.694, ""N.m_off.8"": 0.4898, ""N.m_off.9"": 0.4742, ""N.m_off.10"": 0.019, ""N.q_dead.None"": 0.9736, ""S.s_entry.4"": 0.1004, ""S.s_entry.5"": 0.6886, ""S.s_entry.6"": 0.315, ""S.s_entry.7"": 0.5813, ""S.s_entry.8"": 0.1145, ""S.s_entry.9"": 0.9381, ""S.s_entry.10"": 0.2165, ""S.s_or.4"": 0.5218, ""S.s_or.5"": 0.0244, ""S.s_or.6"": 0.3258, ""S.s_or.7"": 0.8788, ""S.s_or.8"": 0.6771, ""S.s_or.9"": 0.7107, ""S.s_or.10"": 0.2456, ""S.m_off.4"": 0.4722, ""S.m_off.5"": 0.6903, ""S.m_off.6"": 0.1011, ""S.m_off.7"": 0.0821, ""S.m_off.8"": 0.4439, ""S.m_off.9"": 0.2958, ""S.m_off.10"": 0.8864, ""S.q_dead.None"": 0.0665}"
