station,dir,type,role,abs_pm,lanes,name,lat,lon
763771,S,FR,FR,5.99,1,DEL AMO 1,33.848404,-118.20545
716845,S,OR,OR,6.93,1,LONG BEACH,33.861086,-118.200442
717959,S,FR,FR,6.93,2,LONG BEACH SB,33.861086,-118.200442
774150,S,OR,OR,7.84,1,ARTESIA,33.873014,-118.193822
774151,S,FF,FF,7.84,1,ARTESIA,33.873014,-118.193822
716849,S,OR,OR,8.87,1,ALONDRA,33.887504,-118.18958
717969,S,FR,FR,8.93,1,ALONDRA,33.888326,-118.189265
716851,S,OR,OR,9.94,1,ROSECRANS EB,33.9026,-118.18619
761757,S,FR,FR,9.94,1,ROSECRANS EB,33.9026,-118.18619
716853,S,OR,OR,10.14,1,ROSECRANS WB,33.905048,-118.184378
718152,S,FF,FF,10.29,1,EB/WB 105 TO SB 710,33.906773,-118.182716
761767,S,OR,OR,10.29,1,FM RTE 105,33.906773,-118.182716
716855,S,OR,OR,10.94,1,KING 1,33.915832,-118.179574
717976,S,FR,FR,10.94,1,KING 1,33.915832,-118.179574
716882,S,FR,FR,11.54,1,KING 2,33.924409,-118.177989
716859,S,OR,OR,11.927,1,IMPERIAL EB,33.92992,-118.178962
717979,S,CD,CD,11.927,1,IMPERIAL EB,33.92992,-118.178962
761778,S,FR,FR,11.927,1,IMPERIAL EB,33.92992,-118.178962
716860,S,OR,OR,11.987,1,IMPERIAL WB,33.93079,-118.178918
716863,S,OR,OR,13.427,1,FIRESTONE EB,33.949462,-118.170596
717985,S,FR,FR,13.427,1,FIRESTONE EB,33.949462,-118.170596
716865,S,OR,OR,13.517,1,FIRESTONE WB,33.950759,-118.170667
717988,S,FR,FR,13.517,1,FIRESTONE WB,33.950759,-118.170667
717997,S,OR,OR,14.307,2,FLORENCE EB,33.962172,-118.169953
717998,S,FR,FR,14.507,1,FLORENCE EB,33.964963,-118.169033
716867,S,OR,OR,14.767,2,FLORENCE WB,33.9686,-118.16791
718001,S,FR,FR,14.767,1,FLORENCE WB,33.9686,-118.16791
761790,S,OR,OR,16.687,1,ATLANTIC NB,33.994201,-118.176658
716868,S,OR,OR,16.957,1,ATLANTIC SB,33.998038,-118.176649
718007,S,FR,FR,16.957,1,ATLANTIC SB,33.998038,-118.176649
716870,S,OR,OR,17.537,1,WASHINGTON,34.005785,-118.172807
718011,S,FR,FR,17.537,1,WASHINGTON,34.005785,-118.172807
716873,S,OR,OR,18.477,1,OLYMPIC BLVD,34.019379,-118.17355
716876,S,FF,FF,19.307,3,EB/WB 60 TO SB 710,34.031085,-118.171069
776254,S,FR,FR,19.307,1,S/B 710 - 3RD ST OFF,34.031085,-118.171069
776255,S,FF,FF,19.507,1,CONNECTOR TO E/B 60,34.033826,-118.170119
716878,S,OR,OR,19.547,1,THIRD,34.0344,-118.170119
776240,S,OR,OR,19.607,1,S/B 710 ROUTE 60,34.035263,-118.170122
776241,S,FF,FF,19.607,2,S/B 710 ROUTE 60,34.035263,-118.170122
716879,S,OR,OR,19.897,1,CESAR CHAVEZ AV,34.039459,-118.170157
776197,S,ML,ML_entry,20.907,3,S/O RAMONA,34.052438,-118.164419
